name,quadrant_conf,block_conf
"Внедрение импортозамещённого средства обнаружения и реагирования на конечных точках КГМК, ГРКБ, ЕРП",0.2415,0.4691
"Изготовление деталей для ШАС Sandvik Tamroc TH540
(ДТИ-ЗФ-Р-060-К)
",0.2751,0.5124
MetalGPT Guardrails & Audit — платформа регуляторного соответствия,0.287,0.924
Оснащение инженерно-техническими системами безопасности здания центральной химической лаборатории КАУ,0.2901,0.4699
Дооснащение транспортных средств Компании системой спутникового мониторинга,0.2902,0.5438
"Изготовление деталей для СБУ стрелового типа Atlas Copco (Epiroc) Boomer M2С,М2D
(ДТИ-ЗФ-Р-062-К)",0.2963,0.5015
"Изготовление деталей для СБУ установки анкерного крепления Atlas Copco (Epiroc) Boltec MC
(ДТИ-ЗФ-Р-061-К)",0.297,0.5001
Создание частной (pLTE) беспроводной сети передачи данных на территории Заполярного транспортного филиала ПАО «ГМК «Норильский никель»,0.2971,0.4767
СУТиЭЭ. Создание системы учета тепловой энергии и системы учета электрической энергии на ТЭЦ-3,0.3046,0.4888
"Импортозамещение средства мониторинга конфигурации сетевых устройств ЗФ, ГРКБ",0.3093,0.6311
Внедрение импортозамещенного решения MDM,0.3095,0.6171
ДК на вывод IS0003830 Платформа виртуализации Hyper-V (КЦЗ НПР),0.3099,0.8204
Внедрение импортозамещённого средства обнаружения и реагирования на конечных точках ЗФ,0.3128,0.6221
Автоматизированные системы сортировки огнеупоров,0.3128,0.9836
ГО_Миграции АРМ пользователей на целевую ОС Linux (ГО/РОКС г.Москва и центр. регион) (ИТ.23-15),0.3153,0.7379
Умные расходомеры для кислотных растворов,0.3191,0.7343
Внедрение импортозамещённого средства обнаружения и реагирования на конечных точках ГО,0.3203,0.7279
Перевод Система «Регистрации и отображения телеизмерений» на целевые CoreIT,0.3293,0.5326
"Импортозамещение средства контроля сетевого доступа ГО, КГМК",0.332,0.686
Реновация ИС Виртуальные комнаты данных,0.3323,0.0
Перевод 1С:ЗУП (Клуб безопасности информации в промышленности) на целевые CoreIT,0.3341,0.5154
Внедрение импортозамещённого средства удаленного доступа в ЗФ,0.3344,0.7305
Внедрение импортозамещённого средства контроля доступа к файловым ресурсам КГМК,0.3356,0.7972
Импортозамещение средства управления событиями информационной безопасности в КГМК,0.3357,0.6131
Создание системы защиты информации в автоматизированных системах управления производственными и технологическими процессами Надеждинского металлургического завода,0.3385,0.9644
Импортозамещение средства контроля сетевого доступа в ЗФ,0.3406,0.6837
Внедрение импортозамещённого средства удаленного доступа в ГО,0.343,0.7296
Импортозамещение средства управления событиями информационной безопасности в ГРКБ,0.345,0.7211
Отечественные системы дуговой защиты,0.345,0.8788
Повышение уровня информационной безопасности в технологических сетях передачи данных ООО Норильский обеспечивающий комплекс (ЗОКИИ),0.3455,0.9705
Внедрение импортозамещённого средства контроля доступа к файловым ресурсам ЗФ,0.3456,0.7946
Импортозамещение средства управления событиями информационной безопасности в ЗФ,0.3466,0.7176
Импортозамещение системы контроля действий администраторов на предприятиях ПАО «ГМК «Норильский никель» в АО ''Кольская ГМК'' и предприятиях ЗФ,0.3467,0.6801
Создание подсистемы межсетевого экранирования и обнаружения вторжений и подсистемы криптографической защиты каналов связи на площадках АО «Кольская горно-металлургическая компания»,0.3482,0.9701
"Дооснащение автоматическими установками пожаротушения автоматических тяговых подстанций и центральных понизительных подстанций, камер отстоя самоходного оборудования, камер хранения горюче-смазочных м",0.3486,0.441
Перевод локальной системы оповещения опасных производственных объектов 1 и 2 класса опасности ЗТФ ПАО «ГМК «Норильский никель» на Core IT и создание системы мониторинга черезвычайных ситуаций на объектах ЗТФ,0.3508,0.3654
Внедрение импортозамещённого средства контроля доступа к файловым ресурсам ГО,0.3517,1.0
Импортозамещение средства управления событиями информационной безопасности в ЕРП,0.353,0.7169
Инфраструктура для замещения прочих бизнес-приложений,0.3552,0.0
Импортозамещение системы межсетевого экранирования для субъектов КИИ,0.3577,0.7293
"Миграция IT-инфраструктуры ННР на решения Zvirt, Кибербэкап",0.3634,0.6086
Цифровая подпись работника в нарядах и инструктажах,0.3645,1.0
Импортозамещение системы контроля действий администраторов (далее – СКДА) на предприятиях ПАО «ГМК «Норильский никель» в ЗР,0.3649,0.6821
Реновации подземной опорной сети передачи данных в ЗФ,0.3661,0.4836
"Модернизация автоматизированной системы управления насосного оборудования, насосной оборотного водоснабжения третьего подъема (НОВ-3)",0.3668,0.6004
Перевод ПАК Интеллект (платформа для системы безопасности предприятия) на целевые CoreIT,0.3685,0.5405
Автоматизация работы коллегиальных органов управления Компании (Система Сенат),0.3691,0.7772
Перевод АС «Учет заявок на компьютерную технику» (НТЭК) на целевые CoreIT,0.3704,0.3328
Перевод АСУ Автоматизация учета ОС в формате МСФО на целевые CoreIT,0.3744,0.6735
Перевод АС «Учет визитов» на целевые CoreIT,0.3746,0.4229
Datalens Enterprise,0.375,0.6649
Alpha BI,0.375,0.3497
Комита МЧД,0.375,0.8412
Окуляр ГОСТ,0.375,1.0
DataSpace Cloud,0.375,0.5345
TIS-online,0.375,0.7435
Platformeco,0.375,0.5524
WebTools: SmartClient,0.375,0.5066
Автоматизированная система ПГ,0.375,0.5544
Мобильное ТОРО,0.375,0.6797
Reksoft Private Cloud,0.375,0.5202
Платформа Nanocad,0.375,0.7916
DeepMail,0.375,0.4598
Master PDF Editor,0.375,1.0
Data Detective,0.375,0.7354
ELMA,0.375,0.7372
Ally Soft,0.375,0.5744
Крит мобильный ремонтник,0.375,0.5671
Kept Access Monitor,0.375,0.7963
Docsvision,0.375,1.0
Персональный,0.375,0.6451
СФЕРА Доверенности,0.375,0.4704
Data Ocean Governance,0.375,0.7559
ИСУ «ПБиОТ»-InSight,0.375,0.7637
Q.Sensor,0.375,0.6092
KrakenSystem,0.375,0.5732
Юнидата Data Governance,0.375,0.7586
Мобильное ТОРО,0.375,1.0
Docsvision,0.375,1.0
Visary,0.375,1.0
ROSA Virtualization,0.375,0.5172
Кибер Инфраструктура,0.375,0.5048
Р-Виртуализация,0.375,0.712
Система для расчета выбросов ПГ,0.375,0.4952
Fort Monitor,0.375,0.5903
Управление перевозками,0.375,0.6206
NanoCAD Механика PRO,0.375,0.6032
Solvo.TOS,0.375,0.6203
Infinity SCADA,0.375,0.8368
ARQuantum,0.375,0.7322
SCADA ТЕКОН 3.0,0.375,0.6021
Simple-Scada,0.375,0.6525
SCADA ПП АТОМ-НН,0.375,0.6081
ПТК «СУРА»,0.375,0.7144
RedKit,0.375,0.4107
AggreGate SCADA/HMI,0.375,0.416
Клевер.Сквэр - Система контроля выполнения этапов работ,0.375,0.4522
BUILDDOCS,0.375,0.6919
Мобильное ТОРО,0.375,0.4793
Юнидата Data Governance,0.375,0.7586
NovoSkin,0.375,0.9019
Слайдер Диаграммы,0.375,0.634
Базис.Cloud,0.375,0.5593
Lexema,0.375,1.0
Датабриз: платформа управления бизнесом Форсайт: Мобильная платформа,0.375,0.5042
Мобильное ТОРО,0.375,0.6797
LDM CSP,0.375,1.0
М-200,0.375,0.6937
Smart Player,0.375,0.7639
Simple-Scada,0.375,0.6525
Реновация SAP Audit Management,0.375,1.0
Система интегрированного бизнес‑планирования,0.375,0.3476
Sentinel,0.375,0.6122
BPMSoft,0.375,0.7591
Firefox,0.375,0.8718
VK Private Cloud,0.375,0.5209
Viewnior,0.375,0.508
Secret Cloud Enterprise,0.375,0.5994
Баланс,0.375,0.8036
VLC,0.375,1.0
Нефтебаза и АЗС,0.375,0.8087
МобИн,0.375,0.8294
Кибер инфраструктура,0.375,0.5048
DeepMail,0.375,0.4598
ExpertISA,0.375,0.8028
Энергия Данных,0.375,0.5638
Частное облако LINX Cloud,0.375,0.5318
TravelLine WebPMS,0.375,0.5536
Мобильное ТОРО,0.375,0.6797
Astra Infrastructure Cloud (AIC),0.375,0.7729
Система предотвращения столкновений,0.375,0.6184
Система предотвращения столкновений,0.375,0.6184
SAP GRC Access Control,0.375,0.903
Цифровое Управление Строительством,0.375,0.4843
Создание системы защиты информации в автоматизированных системах управления производственными и технологическими процессами ООО ''Норильский обеспечивающий комплекс'',0.3758,0.9645
Перевод АС «Жилой фонд» на целевые CoreIT,0.3764,0.4802
"Тиражирование и доработка целевой ТОС (система управления портом) МТФ, АТФ и ЛП",0.3777,0.7727
Перевод Платежно-пропускная система (Арена-Аквапарк) на целевые CoreIT,0.3785,0.3486
Перевод Портал опросов на целевые CoreIT,0.3801,0.3773
Перевод АИС «Регистратор неисправностей» на целевые CoreIT,0.3814,0.5325
Импортозамещение системы предотвращения утечек конфиденциальной информации в Красноярском регионе,0.3814,0.7223
Перевод 1С:Расчет квартплаты (Санаторий Заполярье) на целевые CoreIT,0.3826,0.4757
Перевод Внешний сайт КЦЗ на целевые CoreIT,0.383,0.4742
Перевод СВБД КонсультантПлюс на целевые CoreIT,0.3837,0.5591
Стационарные системы мониторинга и диагностики – в ЗФ и КГМК,0.385,0.6095
ВОЛС - паспортизация,0.3852,0.7499
Мембранные системы для разделения газовых смесей,0.3853,0.988
Перевод АС «Учет имущественных фондов» на целевые CoreIT,0.3859,0.7306
Работы по переводу ПТК «Горный диспетчер» на базу Linux,0.3868,0.6675
ЦИТ ДИТ 2024-2035 Прочие проекты и программы ЦИТ ДИТ 2024-2035 Прочие проекты и программы,0.3876,0.7039
Импортозамещение системы предотвращения утечек конфиденциальной информации в промышленных регионах,0.3884,0.7266
КНБ,0.3905,0.4268
"Перевод 1С:Трактир «head-Office» (СПА Отель, Санаторий Заполярье) на целевые CoreIT",0.3932,0.3993
"Импортозамещение запасных частей для СБУ веерного и трелового типа фирмы Sandvik
(ДТИ-ЗФ-Р-059-К)",0.3943,0.7615
Программа закупки оборудования развития эффективности производства ДЗИ ОРЭП ГО,0.3951,0.3943
Реновация автоматизированной системы управления технологическим процессом Норильской обогатительной фабрики ООО «Медвежий ручей»,0.3974,0.7315
Реновация Система сбора и предоставления информации по работе оборудования распределительных подстанций МЗ (ЗФ),0.3975,0.5316
Развитие Единого Казначейского Решения (Волна 1),0.3977,0.8126
Courier анализатор – непрерывный процесс калибровки,0.398,0.6031
ПРОЕКТ ИЦК.МР - Реновация автоматизированной системы управления горными работами в ООО «Медвежий ручей» (Тираж),0.3994,0.5725
Перевод Личный кабинет (Твой дом) на целевые CoreIT,0.4008,0.5051
Техническое перевооружение Автоматизированной системы управления технологическим процессом насосной станции III подъема хозпитьевого водоснабжения АО «Кольская ГМК»-1,0.4018,0.6456
Перевод МИС «Пациент.Net» (Заполярье) на целевые CoreIT,0.4024,1.0
Перевод Сервер лицензирования ABBYY Finereader (Норильскгазпром) на целевые CoreIT,0.4033,0.8219
Перевод WEB-отчеты ЦАП на целевые CoreIT,0.4043,0.5174
Перевод Корпоративный портал АО «НТЭК» на целевые CoreIT,0.4044,0.47
Импортозамещение средства управления событиями информационной безопасности,0.4057,0.714
Расширенный Анализ Чистого Оборотного Капитала (ЧОК),0.4058,0.644
Создание подсистемы контроля действий привилегированных пользователей системы защиты технологических процессов ООО Медвежий ручей,0.4064,0.6827
Перевод Загрузка реестров Сбербанка в Атол на целевые CoreIT,0.4068,0.5082
Платформа управления стоительством – Осмокод,0.4068,0.5283
Перевод Смс оповещение (НТЭК) на целевые CoreIT,0.4069,0.4828
Перевод Менеджер лицензий Riscan PRO (ГРКБ) на целевые CoreIT,0.4071,0.4913
Долгосрочный архив,0.4075,1.0
Переход на технологически импортонезависимую ИТ- систему СУРП,0.4081,0.7471
Создание ИТ-инфраструктуры для размещения системы защиты технологических процессов ООО Медвежий ручей,0.4083,0.7254
Инфраструктура диспетчеризации горных работ,0.4084,0.6186
Перевод МИС «Пациент.Net«(ЗФ) на целевые CoreIT,0.4094,0.6391
Автопроводки для SAP ЭДО,0.4095,1.0
Электронный ретроспективный архив,0.4095,1.0
"Внедрение новой учётной системы в ООО «Полярный литий» для ведения бухгалтерского и налогового учёта, казначейства и бюджетирования",0.4098,1.0
Создание системы защиты информации в автоматизированных системах управления ООО ''Аэропорт ''Норильск'',0.4103,0.6139
"Порошки для HIP, 3D печати
(ДТИ-ГО-БА-001-П)",0.4111,0.9869
SAP 2.0,0.4117,1.0
Перевод ПК КРЕДО (менеджер лицензий) на целевые CoreIT,0.4119,0.4052
Техническое перевооружение Автоматизированной системы управления технологическим процессом азотно - кислородной станции кислородно - воздуходувного отделения Центра энергообеспечения АО «Кольская ГМК»,0.4123,0.9806
"Импортозамещение запасных частей для СБУ
(ДТИ-ЗФ-Р-040-О)",0.4123,0.6417
Развитие ИТ-инфраструктуры ООО ''ГРК ''Быстринское'' по предоставлению удаленного доступа,0.4125,0.7364
Техническое перевооружение с оснащением инженерно-техническими средствами охраны зданий и сооружений нефтебазы Дудинская,0.4128,0.5393
Импортозамещение системы защиты веб-трафика в промышленных регионах,0.4132,0.7178
Проверка совместимости и перевод пользовательского ПО и информационных систем на целевую платформу МИР Линукс,0.4134,0.0
Перевод Биллинг в АО «НТЭК» на целевые CoreIT,0.4137,0.4719
Перевод Сайт ННР на целевые CoreIT,0.4137,0.3339
Создание подсистемы обнаружения изменения топологии сети системы защиты технологических процессов АО КГМК,0.4145,0.6468
Внедрение ФГИС Северного завоза,0.4153,0.7269
Перевод Портал «Проект ДСП» на целевые CoreIT,0.4158,0.3424
Реновация РО ТВС р.Октябрьский (ЗФ),0.416,0.6222
Реновация САУ ДКС ЮС (Норильскгазпром),0.416,0.6216
Реновация САУ РП Тухард (НТГ),0.416,0.6314
Реновация САУ ЭС Тухард (НТГ),0.416,0.63
Реновация СБД р.Октябрьский (ЗФ),0.416,0.6276
Реновация РО СДУ ВВ р.Октябрьский (ЗФ),0.416,0.6182
Реновация САУ ГРС-4 (НТГ),0.416,0.7153
Реновация СВК 1Г УХГЭС (НТЭК),0.416,0.6327
Реновация СВК 2Г УХГЭС (НТЭК),0.416,0.5217
Реновация СЛТМ (НТГ),0.416,0.6373
Реновация СБД р.Таймырский (ЗФ),0.416,0.6863
Реновация САУ котельной Тухард (НТГ),0.416,0.6318
